Flight_ID,Delay_Code,DelayCode_ID,DATOP_UTC,FLIGHT_NO,STD_UTC,ATD_UTC,STA_UTC,ATA_UTC,Delay_Minutes,Controllable
91003,TST,326,17/1/2018,UO1203,2018-01-17T03:05:00,2018-01-17T03:20:00,2018-01-17T07:10:00,2018-01-17T07:20:00,15,1
91040,PEC,286,17/1/2018,UO1204,2018-01-17T07:55:00,2018-01-17T08:18:00,2018-01-17T13:20:00,2018-01-17T13:58:00,23,1
91137,TST,326,17/1/2018,UO1586,2018-01-17T23:40:00,2018-01-17T23:53:00,2018-01-18T01:50:00,2018-01-18T02:02:00,13,1
91360,FLW,236,17/1/2018,UO1980,2018-01-17T10:00:00,2018-01-17T10:46:00,2018-01-17T15:25:00,2018-01-17T16:20:00,46,1
91414,FFL,265,17/1/2018,UO2177,2018-01-17T06:55:00,2018-01-17T07:04:00,2018-01-17T10:30:00,2018-01-17T10:33:00,9,1
91440,POK,288,17/1/2018,UO2178,2018-01-17T11:15:00,2018-01-17T11:19:00,2018-01-17T15:45:00,2018-01-17T15:34:00,4,1
91574,SGK,309,17/1/2018,UO3385,2018-01-17T23:50:00,2018-01-18T00:04:00,2018-01-18T01:45:00,2018-01-18T01:45:00,14,1
91653,FFL,265,17/1/2018,UO4231,2018-01-17T01:15:00,2018-01-17T01:28:00,2018-01-17T04:40:00,2018-01-17T04:45:00,13,1
91684,FRO,245,17/1/2018,UO4232,2018-01-17T05:15:00,2018-01-17T05:24:00,2018-01-17T08:55:00,2018-01-17T10:00:00,9,1
89755,GSE,184,18/1/2018,UO375,2018-01-18T13:30:00,2018-01-18T13:50:00,2018-01-18T18:25:00,2018-01-18T18:44:00,20,1
89787,RAT,299,18/1/2018,UO389,2018-01-18T10:05:00,2018-01-18T10:17:00,2018-01-18T13:45:00,2018-01-18T13:50:00,12,1
89866,DGK,257,18/1/2018,UO515,2018-01-18T04:05:00,2018-01-18T04:23:00,2018-01-18T05:40:00,2018-01-18T05:57:00,18,1
89897,FSS,252,18/1/2018,UO516,2018-01-18T06:15:00,2018-01-18T06:35:00,2018-01-18T07:50:00,2018-01-18T08:09:00,20,1
89978,PDO,275,18/1/2018,UO560,2018-01-18T00:40:00,2018-01-18T00:43:00,2018-01-18T02:45:00,2018-01-18T03:10:00,3,1
90022,CPO,221,18/1/2018,UO885,2018-01-18T22:50:00,2018-01-18T22:58:00,2018-01-19T00:50:00,2018-01-19T00:41:00,8,1
90082,ROV,307,18/1/2018,UO891,2018-01-18T08:35:00,2018-01-18T09:03:00,2018-01-18T10:35:00,2018-01-18T10:54:00,28,1
90141,FLI,234,18/1/2018,UO899,2018-01-18T07:10:00,2018-01-18T07:16:00,2018-01-18T09:35:00,2018-01-18T09:34:00,6,1
90281,GSE,184,18/1/2018,UO948,2018-01-18T19:55:00,2018-01-18T19:59:00,2018-01-19T00:00:00,2018-01-18T23:41:00,4,1
90326,FAO,229,18/1/2018,UO952,2018-01-18T03:35:00,2018-01-18T04:01:00,2018-01-18T06:55:00,2018-01-18T07:43:00,26,1
90370,FCO,232,18/1/2018,UO955,2018-01-18T10:15:00,2018-01-18T10:16:00,2018-01-18T14:10:00,2018-01-18T14:08:00,1,1
90401,ROF,304,18/1/2018,UO956,2018-01-18T14:55:00,2018-01-18T15:01:00,2018-01-18T20:05:00,2018-01-18T20:01:00,6,1
90493,PDO,275,18/1/2018,UO959,2018-01-18T07:50:00,2018-01-18T08:21:00,2018-01-18T12:05:00,2018-01-18T11:50:00,31,1
90661,EFK,264,18/1/2018,UO1019,2018-01-18T01:15:00,2018-01-18T01:32:00,2018-01-18T04:50:00,2018-01-18T05:10:00,17,1
